Offer,Description,Coupon Code,Eligible Credit Cards,Eligible Debit Cards,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.200,"Get 10% instant discount using Central Bank of India Debit cards on orders above Rs.Rs.1200 (max discount Rs.Rs.200). Minimum order value must be Rs.Rs.1200 to get a 10% instant discount up to Rs.Rs.200. This voucher can be applied only once per customer and only once for Central Bank of India Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",CB200DC,,Central Bank Rupay Platinum Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.200,"Get 10% instant discount using Central Bank of India Debit cards on orders above Rs.Rs.1200 (max discount Rs.Rs.200). Minimum order value must be Rs.Rs.1200 to get a 10% instant discount up to Rs.Rs.200. This voucher can be applied only once per customer and only once for Central Bank of India Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",CB200DC,,Central Bank Rupay Classic Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.200,"Get 10% instant discount using Central Bank of India Debit cards on orders above Rs.Rs.1200 (max discount Rs.Rs.200). Minimum order value must be Rs.Rs.1200 to get a 10% instant discount up to Rs.Rs.200. This voucher can be applied only once per customer and only once for Central Bank of India Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",CB200DC,,Central Bank Business Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.200,"Get 10% instant discount using Central Bank of India Debit cards on orders above Rs.Rs.1200 (max discount Rs.Rs.200). Minimum order value must be Rs.Rs.1200 to get a 10% instant discount up to Rs.Rs.200. This voucher can be applied only once per customer and only once for Central Bank of India Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",CB200DC,,Central Bank Visa Platinum Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.200,"Get up to 10% off using AU Small Finance Bank Debit cards on orders above Rs.Rs.1500 (max discount Rs.Rs.200). Minimum order value must be Rs.Rs.1500 to get instant discount up to Rs.Rs.200. This voucher can be applied only once per customer and only once for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",AU10DC,,AU Royale World Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.200,"Get up to 10% off using AU Small Finance Bank Debit cards on orders above Rs.Rs.1500 (max discount Rs.Rs.200). Minimum order value must be Rs.Rs.1500 to get instant discount up to Rs.Rs.200. This voucher can be applied only once per customer and only once for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",AU10DC,,AU RuPay Platinum Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.200,"Get up to 10% off using AU Small Finance Bank Debit cards on orders above Rs.Rs.1500 (max discount Rs.Rs.200). Minimum order value must be Rs.Rs.1500 to get instant discount up to Rs.Rs.200. This voucher can be applied only once per customer and only once for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",AU10DC,,AU RuPay Classic Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.200,"Get up to 10% off using AU Small Finance Bank Debit cards on orders above Rs.Rs.1500 (max discount Rs.Rs.200). Minimum order value must be Rs.Rs.1500 to get instant discount up to Rs.Rs.200. This voucher can be applied only once per customer and only once for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",AU10DC,,AU Visa Business Platinum Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.200,"Get up to 10% off using AU Small Finance Bank Debit cards on orders above Rs.Rs.1500 (max discount Rs.Rs.200). Minimum order value must be Rs.Rs.1500 to get instant discount up to Rs.Rs.200. This voucher can be applied only once per customer and only once for Debit card transactions. Baby Food & Formula, Paan Corner, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",AU10DC,,AU Mastercard Platinum Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.150,"Get 10% instant discount on select IndusInd Bank Debit cards on orders above Rs.Rs.999 (max discount Rs.Rs.150). Minimum order value must be Rs.Rs.999 to get a 10% instant discount up to Rs.Rs.150. This voucher can be applied only once per customer and only once for Platinum Plus/Premier/Duo, Signature Delight/Supreme/Select/Exclusive/Care, Titanium/World Delights and Indie Debit card transactions. Baby Food & Formula and Paan Corner categories are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",INDUS10DC,,IndusInd Delights Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.150,"Get 10% instant discount on select IndusInd Bank Debit cards on orders above Rs.Rs.999 (max discount Rs.Rs.150). Minimum order value must be Rs.Rs.999 to get a 10% instant discount up to Rs.Rs.150. This voucher can be applied only once per customer and only once for Platinum Plus/Premier/Duo, Signature Delight/Supreme/Select/Exclusive/Care, Titanium/World Delights and Indie Debit card transactions. Baby Food & Formula and Paan Corner categories are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",INDUS10DC,,IndusInd Visa Signature Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.150,"Get 10% instant discount on select IndusInd Bank Debit cards on orders above Rs.Rs.999 (max discount Rs.Rs.150). Minimum order value must be Rs.Rs.999 to get a 10% instant discount up to Rs.Rs.150. This voucher can be applied only once per customer and only once for Platinum Plus/Premier/Duo, Signature Delight/Supreme/Select/Exclusive/Care, Titanium/World Delights and Indie Debit card transactions. Baby Food & Formula and Paan Corner categories are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25th 2025, 11:59 PM.",INDUS10DC,,IndusInd World Delights Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank VISA Signature PayWave Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank VISA Platinum PayWave Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank RuPay Platinum Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank VISA Gold Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank Mastercard Gold Debit Card,,,,,,,,,,,,,,,,,,,,,
10% Off upto Rs.Rs.100,"Get Upto 10% off using IDBI Debit cards on orders above Rs.Rs.599. Max discount of Rs.Rs.100. Minimum order value must be Rs.Rs.599 to get instant discount upto Rs.Rs.100. This voucher can only be applied once per customer. This voucher can only be applied once for Debit card transactions. Paan Corner, Baby Food & Formula, Coins & Bars are excluded from this offer. Benefits of this voucher may be modified or removed if items are returned or refunded. Bigbasket and its subsidiaries have the right to amend these Terms and Conditions, expire or call back the voucher at any time without prior notice. This voucher expires on Thu Dec 25 2025, 11:59 PM.",IDBIDC,,IDBI Bank RuPay Platinum NCMC Card,,,,,,,,,,,,,,,,,,,,,
